Re                            | Brutos
shoulders: 16                 | said.: 15
twice: 16                     | line: 15
shook: 16                     | coronet: 15
third: 16                     | remarked.: 15
sharp: 16                     | eyes,: 15
key: 16                       | fell: 15
information: 16               | low: 15
boscombe: 16                  | weeks: 14
determined: 16                | confess: 14
events: 16                    | because: 14
dog: 16                       | man’s: 14
sudden: 16                    | yes,: 14
centre: 16                    | figure: 14
openshaw: 16                  | friend,: 14
lock: 16                      | together: 14
neither: 16                   | hands.: 14
confess: 16                   | instantly: 14
impression: 16                | everything: 14
smiling: 16                   | direction: 14
dropped: 16                   | right,: 14
broad: 16                     | probably: 14
examined: 16                  | table.: 14
times: 16                     | back.: 14
arrived: 16                   | pay: 14
yard: 16                      | key: 14
show: 16                      | walk: 14
surprise: 16                  | determined: 14
appearance: 16                | simple: 14
importance: 16                | paid: 14
start: 16                     | say,: 14
brown: 16                     | pushed: 14
kindly: 16                    | broke: 14
cleared: 16                   | outside: 14
mad: 16                       | terrible: 14
lit: 16                       | Frank: 14
turning: 16                   | lying: 14
whispered: 16                 | happened: 14
trust: 16                     | wrote: 14
chamber: 16                   | “Quite: 14
cellar: 15                    | official: 14
number: 15                    | number: 14
force: 15                     | Boscombe: 14
blood: 15                     | inspector: 14
engaged: 15                   | sir.: 14
caused: 15                    | sort: 14
says: 15                      | deal: 14
comes: 15                     | mine: 14
clearly: 15                   | serious: 14
thirty: 15                    | sharp: 14
foot: 15                      | explain: 14
band: 15                      | interesting: 14
live: 15                      | visitor: 14
answer: 15                    | son,: 14
witness: 15                   | town: 14
official: 15                  | news: 14
probably: 15                  | listened: 14
paid: 15                      | down,: 14
truth: 15                     | someone: 14
toller: 15                    | heart: 14
terrible: 15                  | long,: 13
walk: 15                      | clearly: 13
assistant: 15                 | nearly: 13
therefore: 15                 | thin: 13
deal: 15                      | signs: 13
society: 15                   | was,: 13
didn: 15                      | lady,: 13
clay: 15                      | rest: 13
absolute: 15                  | Archive: 13
view: 15                      | sit: 13
waited: 15                    | eyes.: 13
care: 15                      | bent: 13
object: 15                    | comes: 13
fancy: 15                     | Foundation: 13
yellow: 15                    | absolute: 13
armchair: 15                  | slipped: 13
wrong: 15                     | miles: 13
reading: 15                   | waited: 13
later: 15                     | hours: 13
excuse: 15                    | private: 13
nearly: 15                    | neither: 13
german: 15                    | which,: 13
donations: 15                 | live: 13
follow: 15                    | week: 13
arms: 15                      | wrong: 13
writing: 15                   | excuse: 13
slight: 15                    | not,: 13
precisely: 14                 | From: 13
unless: 14                    | matters: 13
different: 14                 | alone: 13
thick: 14                     | amid: 13
private: 14                   | professional: 13
scene: 14                     | carry: 13
glass: 14                     | break: 13
middle: 14                    | follow: 13
ventilator: 14                | horrible: 13
top: 14                       | trust: 13
ve: 14                        | “Ah,: 13
walking: 14                   | time.: 13
bent: 14                      | head.: 13
lying: 14                     | husband: 13
nine: 14                      | Irene: 13
bad: 14                       | occurred: 13
age: 14                       | certain: 13
smoke: 14                     | more.: 13
broke: 14                     | night.: 13
died: 14                      | carriage: 13
hotel: 14                     | father,: 13
envelope: 14                  | brown: 13
shot: 14                      | Arthur: 13
eight: 14                     | “but: 13
result: 14                    | work,: 13
monday: 14                    | Clair: 13
promise: 14                   | indeed,: 13
george: 14                    | dressed: 13
wall: 14                      | experience: 13
difficult: 14                 | she,: 13
pushed: 14                    | nature: 13
darkness: 14                  | Literary: 13
master: 14                    | fellow,: 13
church: 14                    | object: 13
professional: 14              | raise: 13
